date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
2/4/2022,Meta Platforms Inc,META,ARGUS,JOSEPH BONNER,Buy,Hold,,
2/4/2022,Meta Platforms Inc,META,DZ BANK,INGO WERMANN,HOLD,SELL,,225
2/4/2022,Meta Platforms Inc,META,CHINA RENAISSANCE,ELLA JI,HOLD,BUY,415,280
2/7/2022,Microsoft Corp,MSFT,BAML,BRAD SILLS,BUY,BUY,,                  
2/8/2022,Microsoft Corp,MSFT,MORGAN STANLEY,KEITH WEISS,OVERWEIGHT,OVERWEIGHT,,372
2/8/2022,Tesla Inc,TSLA,GLJ,GORDON JOHNSON,NOT FOUND,NOT FOUND,,                  
2/9/2022,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,OVERWEIGHT,OVERWEIGHT,,                  
2/15/2022,Intel Corp,INTC,CITI,CHRISTOPHER DANELY,NEUTRAL,NEUTRAL,,55
2/18/2022,Intel Corp,INTC,UBS,TIMOTHY ARCURI,NEUTRAL,IN LINE,,                  
2/18/2022,Intel Corp,INTC,JEFFERIES,MARK LIPACIS,HOLD,HOLD,,48
2/18/2022,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,OVERWEIGHT,OVERWEIGHT,,433.33
2/22/2022,Nvidia Corp,NVDA,BAML,VIVEK ARYA,NOT FOUND,NOT FOUND,,                  
2/23/2022,Intel Corp,INTC,,CHRIS CASO,Underperform,Market Perform,,
2/24/2022,Intel Corp,INTC,DZ BANK,INGO WERMANN,HOLD,BUY,,                  
3/1/2022,Meta Platforms Inc,META,,MARK ZGUTOWICZ,Hold                         ,Hold                         ,,
3/2/2022,Meta Platforms Inc,META,MORGAN STANLEY,BRIAN NOWAK,OVERWEIGHT,OVERWEIGHT,,325
3/4/2022,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,OUTPERFORM,OUTPERFORM,,466.67
3/8/2022,Meta Platforms Inc,META,PIPER SANDLER,THOMAS CHAMPION,NEUTRAL,NEUTRAL,301,240
3/9/2022,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,POSITIVE,POSITIVE,,450
3/10/2022,Amazon.com Inc,AMZN,MORGAN STANLEY,BRIAN NOWAK,"""POSITIVE",OVERWEIGHT,,                  
3/11/2022,Amazon.com Inc,AMZN,,LEE HOROWITZ,Buy                          ,Buy                          ,205,205
3/23/2022,Tesla Inc,TSLA,GLOBAL EQUITIES,TRIP CHOWDHRY,NOT FOUND,NOT FOUND,,                  
